#1=α 2=β 3=qs 4=S 5=q0 6=s0 7=s1 8=Q 9=qh0 10=qh1 11=sh0 12=sh1 13=Sh 14=Qh 15=ϕ
0.6 10.0 0.9 0.5839569216562128 0.6489236806514765 0.5154522924263536 0.5548028178648369 0.4399626939297959 8.243581401154996 27.338262718230492 2.6052130425476174 2.673203453447189 0.1 0.8491715418499356 0.22370198615958803
0.6 10.0 0.9 0.6630547505334955 0.6489234866781056 0.5489369659725306 0.6295192321099778 0.5056586241040807 8.2435672732295 27.338250567764582 2.4133186374838234 2.5620223300587974 0.2 0.7284643037156404 0.21187581689417057
0.6 10.0 0.9 0.7356399285562202 0.6489232412332878 0.5771313178109241 0.6980497722238905 0.582515830138413 8.243549396462766 27.338235193175016 2.210910776286511 2.4546267542092854 0.3 0.618273285033083 0.19380094480842613
0.6 10.0 0.9 0.7978333244801219 0.6489229306569284 0.599829068150824 0.7567310534339812 0.6612513658871833 8.24352677597062 27.338215738835157 1.9991285335435613 2.3491925030098093 0.4 0.5194923796665982 0.17213395645687976
0.6 10.0 0.9 0.8470430741148991 0.6489225376678422 0.6173528228336971 0.8031236206489575 0.7320135033724239 8.243498153159832 27.338191122312946 1.7871220553607037 2.2453919716103847 0.5 0.43510068628503706 0.15010185890022704
0.6 10.0 0.9 0.8833795928151978 0.6489220403955591 0.6304609479934844 0.8373464769056537 0.7890491019385625 8.243461935224515 27.33815997374783 1.5879829816692388 2.1439883561177258 0.6 0.3672345750181042 0.1302161523347412
0.6 10.0 0.9 0.909284515652382 0.6489214111681769 0.6401656533162211 0.8617190077663837 0.8321885965030711 8.243416106896715 27.33812055993014 1.4106833108242212 2.0458431177598366 0.7 0.3150177825797853 0.11345199358919969
0.6 10.0 0.9 0.9210934707582347 0.6489206149706996 0.6447654569986438 0.8728200980490559 0.8525418007405761 8.2433581181629 27.338070687871966 1.3158130551533742 1.9886898331966991 0.76 0.29000586276153906 0.1048433291894727
0.6 10.0 0.9 0.9277674843935333 0.6489214111681769 0.647433240563754 0.8790909760999412 0.8642363618182411 8.243416106896715 27.33812055993014 1.2572321807370879 1.9513577970964833 0.8 0.2755300948443512 0.09964027666356173
0.6 10.0 0.9 0.9513669433933303 0.6489220403955591 0.6573940028100764 0.9012446209728118 0.9067164217006283 8.243461935224515 27.33815997374783 1.0120317770503322 1.7734070720436452 1.0 0.2228150649834549 0.07862543918706258
0.6 10.0 0.9 0.9653711601547442 0.6489225376678422 0.6638513045979529 0.914375044457123 0.932773714408713 8.243498153159832 27.338191122312946 0.8277665564317171 1.6094054810477805 1.2 0.1917394669227584 0.06332940098574216
0.6 10.0 0.9 0.9745058322008257 0.6489229306569284 0.668380760488478 0.9229350732674708 0.9501213700745554 8.24352677597062 27.338215738835157 0.6854568179390432 1.4590650842467516 1.4 0.1737000869867709 0.05151327216184992
0.6 10.0 0.9 0.9808749686355362 0.6489232412332878 0.6717313923784943 0.9289035464287141 0.9623836705945715 8.243549396462766 27.338235193175016 0.5734989844808482 1.322894675080186 1.6 0.16479046911698478 0.04199494500088345
0.6 10.0 0.9 0.9855182283133335 0.6489234866781056 0.6742948706318567 0.933256485455572 0.9714098391486419 8.2435672732295 27.338250567764582 0.4848702488653211 1.202154055199645 1.8 0.16358747737139678 0.03412446568772781
0.6 10.0 0.9 0.9889988036187155 0.6489236806514765 0.6762936071120935 0.9365216307059565 0.9782233804907895 8.243581401154996 27.338262718230492 0.41520762386505156 1.0986894814987325 2.0 0.1702166381123048 0.02752749367140493
0.6 10.0 0.9 0.9916435161383981 0.6489238339466 0.6778614908898053 0.9390046590089344 0.9834275921444128 8.243592566330447 27.338272320636616 0.36173281860205103 1.014823949209802 2.2 0.18619540389391076 0.02198556253860349
0.6 10.0 0.9 0.9936546055016507 0.6489239550942002 0.6790843688803303 0.9408943926317905 0.9874004887446153 8.243601390072184 27.33827990933335 0.32257218350431804 0.9530006417161524 2.4 0.21441238569445978 0.017369361582661696
0.6 10.0 0.9 0.9951655434190897 0.6489240508367707 0.6800214145627518 0.9423152835635893 0.9903944874128421 8.243608363454056 27.338285906671462 0.29627281550961304 0.9151657647639 2.6 0.2591999626813757 0.013599443839892603
0.6 10.0 0.9 0.9962764118297084 0.6489241265004909 0.680720652458771 0.9433606679949416 0.9926014975490984 8.243613874405751 27.338290646267758 0.28129702438381016 0.9015933025811087 2.8 0.32544328262028044 0.010606019056628582
0.6 10.0 0.9 0.9970732435362208 0.6489241862972646 0.6812276554413652 0.9441109465299855 0.9941889751221302 8.243618229695214 27.338294391957398 0.2756691236474112 0.9099306399084686 3.0 0.41689069597709694 0.00829975365116356
0.6 10.0 0.9 0.9976352042235554 0.6489242335551095 0.6815879393184108 0.9446403018144369 0.9953128156559475 8.243621671715216 27.338297352207725 0.2770383062832387 0.9353832917618836 3.2 0.5343386778829854 0.006560979801409298
0.6 10.0 0.9 0.9980306477979342 0.648924270901792 0.681842783284329 0.9450129172997747 0.9961086046967018 8.243624391859326 27.338299691617596 0.28311009325698194 0.9724576690073427 3.4 0.6756679772944025 0.005258300050691472
0.6 10.0 0.9 0.9983121829522961 0.6489243004174721 0.682024840660685 0.9452782580223607 0.9966810496773869 8.243626541633018 27.33830154049247 0.29206397581308197 1.0164625600741586 3.6 0.837358092122456 0.004274474790264403
0.6 10.0 0.8 0.948181455665378 0.6095260647042845 0.6499802652797178 0.8407311479008654 0.9037104155810518 13.415088362620507 22.07906328227328 1.655601388156844 2.395977640911805 1.1 0.4111290502910211 0.06982831994740932
