#1=α 2=β 3=qs 4=S 5=q0 6=s0 7=s1 8=Q 9=qh0 10=qh1 11=sh0 12=sh1 13=Sh 14=Qh 15=ϕ
0.1 5.0 0.1 0.2 0.006328361445984143 0.02070142002263964 0.05768143129802894 0.09121459640282126 0.7212251578247902 -9.76928442368471 0.21379312847846776 0.2308301772502297 0.159421594806945 0.0640090201953214 0.6109177773211245
0.1 20.0 0.2 0.2 0.01265991866894467 0.02932503820798611 0.08261837514341032 0.09088902865830134 0.36062433896736934 -3.7255813193789944 0.15089427779001688 0.16316091485249984 0.15778488945765096 0.06372991972343066 0.6111527643636451
0.1 20.0 0.3 0.2 0.01899824964013419 0.035981861457059804 0.10286615696813722 0.09043937152476962 0.24042976560129747 -0.7650950537723246 0.12289899689579137 0.1331513315963213 0.15552709614868418 0.06335892011671061 0.6114733945263958
0.1 20.0 0.32 0.2 0.02026664280840862 0.03717476516607766 0.10658639594871619 0.09034668003675819 0.2254056688771432 -0.29021999434020984 0.1189368515293469 0.1289094532748635 0.15506201004141176 0.06328434543363678 0.6115389322686592
0.1 20.0 0.33 0.2 0.020900897679254626 0.03775760120276334 0.10841341362906241 0.09030053589478458 0.21857634780993707 -0.06142234307387227 0.11709183044653439 0.12693451258405575 0.15482977922623184 0.06324739112106713 0.6115715884227348
0.1 20.0 0.315 0.2 0.019949542018338207 0.03687998628709721 0.1056648329944565 0.09036971890152756 0.228983047333276 -0.40666176174640245 0.11989200066064853 0.1299319585257308 0.155178253141559 0.06330287538602875 0.6115225703062224
0.1 20.0 0.335 0.2 0.02121808506672096 0.03804572323851119 0.10931907989952805 0.09027727507115912 0.21531482084306797 0.051077907719482465 0.11620030393455494 0.12598030479926692 0.154713867067471 0.06322893031374122 0.6115878775038338
0.1 20.0 0.355 0.2 0.019903002579368945 0.03680186211330039 0.10905032765684552 0.09066135561630517 0.2002085322525153 0.051076265838451505 0.11231050256466091 0.12160381579473523 0.156646560019178 0.06358030102404655 0.6113135908783546
0.1 20.0 0.35 0.2 0.020392461053120314 0.037266857377815654 0.10938612848843121 0.090535335311003 0.2039742566505942 0.0822367558021178 0.11327742233113725 0.1227053065822048 0.15601284842928 0.0634649535147247 0.6114038099181671
0.2 20.0 0.7 0.1 0.08869276868495035 0.01954242024242778 0.011522742951912354 0.1304071580813826 0.23553199155385715 7.896809413266705 0.18602274411306466 0.18482381746925408 -0.016927642048604592 0.1684527403725492 0.5499487049851227
0.2 20.0 0.7 0.1 0.08869275092138196 0.019542470521053314 0.011522817035948384 0.1304071625622683 0.2355319426467375 7.896808812415849 0.18602273889523302 0.1848238150625997 -0.016927617340079287 0.16845273885377607 0.549948705061252
