#1=α 2=β 3=qs 4=q0 5=qh0 6=qh1 7=ϕ 
0.6 Inf 0.5 0.18970957478358033 1.8951426975968348 4.110801444450654 0.08461152955428641
0.6 Inf 0.6 0.22987757377136697 1.5974021278215127 6.037134948384466 -0.1349488304667188
0.6 Inf 0.7 0.2704401664381132 1.38287501103018 8.406741325058606 -0.46459056998211734
0.6 Inf 0.8 0.31115125204167426 1.2198135275294266 12.072529509016732 -0.9423527683807605
0.6 Inf 0.9 0.35154036370496866 1.0899093386777485 21.74647240538758 -1.711268050039958
0.6 Inf 0.9 0.3515405488694117 1.0899104979671328 21.746473116868025 -1.7112680500404682
0.6 Inf 0.905 0.3535370559313651 1.084049551888348 22.771838999232028 -1.7658318102587485
0.6 Inf 0.91 0.3555317708186346 1.0782466752701916 23.91496635951979 -1.823107846393114
0.6 Inf 0.915 0.3575238883100232 1.0724960803301093 25.19674318789697 -1.8834157083911909
0.6 Inf 0.92 0.3595134497615138 1.066797236237856 26.64315013186237 -1.9471332396760137
0.6 Inf 0.925 0.36150051294180024 1.0611496787425412 28.286965214544182 -2.014711310142153
0.6 Inf 0.93 0.36348514547234245 1.0555529811214777 30.170219070147848 -2.0866936886362653
0.6 Inf 0.935 0.3654674189802345 1.0500067319236892 32.34779624700265 -2.1637443815358464
0.6 Inf 0.94 0.3674474038570856 1.0445105161839172 34.892842897874274 -2.246686056429736
0.6 Inf 0.945 0.36942516549218135 1.039063902869124 37.90511881971898 -2.336555356230921
0.6 Inf 0.95 0.3714007624289605 1.033666439656007 41.524343491660666 -2.4346847675598107
0.6 Inf 0.955 0.3733742463052492 1.0283176540683001 45.952414275886525 -2.5428278446291115
0.6 Inf 0.96 0.3753456629420616 1.023017058416749 51.49226353711131 -2.663358516561959
0.6 Inf 0.965 0.3773150538011021 1.0177641557188695 58.620006632669075 -2.799604150213749
0.6 Inf 0.97 0.3792824572795664 1.0125584448396627 68.12923603966281 -2.9564370404187654
0.6 Inf 0.975 0.38124790972704486 1.0073994246368392 81.4484761917494 -3.1414100110502354
0.6 Inf 0.98 0.3832114464056094 1.0022865981742535 101.4348307694959 -3.367175306826158
0.6 Inf 0.985 0.38517310293950835 0.9972194796021575 134.75493303342276 -3.6574504913544343
0.6 Inf 0.99 0.3871329189200771 0.9921976119877614 201.4087540609675 -4.06548103866068
0.6 Inf 0.995 0.38909095192614285 0.9872206376279422 401.39626791692444 -4.761166877556929
